username	date_time	status
first	2020-11-19 19:59:33.106252	Cancelled	
first	2020-11-19 09:03:02.327017	Cancelled	
first	2020-11-19 20:30:06.897316	Cancelled	
first	2020-11-19 09:36:10.137814	Cancelled	
ada	2020-11-19 21:09:36.764697	Cancelled	
ada	2020-11-19 21:09:39.247649	Cancelled	
Anonymous	2020-11-19 21:19:17.474538	Cancelled	
first	2020-11-19 10:28:27.675734	Cancelled	
first	2020-11-19 21:29:04.758607	Cancelled	
first	2020-11-19 10:33:57.580229	Cancelled	
first	2020-11-19 11:29:07.599227	Cancelled	
